************************************************************************************
*    Row   *         i *    runnum *        fi *      fill * R2_vpdrsc * R2_zdcrsc *
*      284 *       285 *  16079062 *        21 *     18793 * 0.9624296 * 0.9614570 *
*      285 *       286 *  16079063 *        21 *     18793 * 0.9622179 * 0.9614695 *
*      286 *       287 *  16080001 *        21 *     18793 * 0.9621019 * 0.9614074 *
*      287 *       288 *  16080002 *        21 *     18793 * 0.9620628 * 0.9612950 *
*      288 *       289 *  16080003 *        21 *     18793 * 0.9619744 * 0.9613589 *
*      289 *       290 *  16080004 *        21 *     18793 * 0.9618057 * 0.9607749 *
*      290 *       291 *  16080005 *        21 *     18793 * 0.9617992 * 0.9616088 *
*      291 *       292 *  16080006 *        21 *     18793 * 0.9616974 * 0.9605640 *
*      292 *       293 *  16080007 *        21 *     18793 *         0 * 0.9604951 *
*      293 *       294 *  16080012 *        22 *     18794 * 1.0326058 * 1.0314666 *
*      294 *       295 *  16080013 *        22 *     18794 * 1.0323480 * 1.0313481 *
*      295 *       296 *  16080014 *        22 *     18794 * 1.0325269 * 1.0316417 *
*      296 *       297 *  16080015 *        22 *     18794 * 1.0325648 * 1.0314233 *
*      297 *       298 *  16080016 *        22 *     18794 * 1.0326597 * 1.0323147 *
*      298 *       299 *  16080020 *        23 *     18795 * 1.0062756 * 1.0047808 *
*      299 *       300 *  16080021 *        23 *     18795 * 1.0065351 * 1.0049740 *
*      300 *       301 *  16080022 *        23 *     18795 * 1.0066447 * 1.0069863 *
*      301 *       302 *  16080023 *        23 *     18795 * 1.0066647 * 1.0055635 *
*      302 *       303 *  16080024 *        23 *     18795 * 1.0067870 * 1.0062588 *
*      303 *       304 *  16080025 *        23 *     18795 * 1.0069042 * 1.0080575 *
*      304 *       305 *  16080026 *        23 *     18795 * 1.0068874 * 1.0066863 *
*      305 *       306 *  16080027 *        23 *     18795 * 1.0068655 * 1.0080958 *
*      306 *       307 *  16080028 *        23 *     18795 * 1.0069347 * 1.0063628 *
*      307 *       308 *  16080029 *        23 *     18795 * 1.0068981 * 1.0051692 *
*      308 *       309 *  16080030 *        23 *     18795 * 1.0068593 * 1.0056726 *
*      309 *       310 *  16080031 *        23 *     18795 * 1.0067546 * 1.0065263 *
*      310 *       311 *  16080032 *        23 *     18795 * 1.0067118 * 1.0055780 *
*      311 *       312 *  16080033 *        23 *     18795 * 1.0067715 * 1.0072029 *
*      312 *       313 *  16080035 *        23 *     18795 *         0 * 1.0048645 *
*      313 *       314 *  16080043 *        24 *     18796 * 0.9960235 * 0.9959346 *
*      314 *       315 *  16080044 *        24 *     18796 * 0.9959257 * 0.9956815 *
*      315 *       316 *  16080045 *        24 *     18796 * 0.9960340 * 0.9956179 *
*      316 *       317 *  16080046 *        24 *     18796 * 0.9961071 * 0.9940594 *
*      317 *       318 *  16080047 *        24 *     18796 * 0.9961511 * 0.9958987 *
*      318 *       319 *  16080048 *        24 *     18796 * 0.9961994 * 0.9969232 *
*      319 *       320 *  16080049 *        24 *     18796 * 0.9962182 * 0.9945493 *
*      320 *       321 *  16080050 *        24 *     18796 * 0.9962884 * 0.9960027 *
*      321 *       322 *  16080051 *        24 *     18796 * 0.9963534 * 0.9947981 *
*      322 *       323 *  16080052 *        24 *     18796 * 0.9964017 * 0.9947955 *
*      323 *       324 *  16080053 *        24 *     18796 * 0.9964441 * 0.9960957 *
*      324 *       325 *  16080054 *        24 *     18796 * 0.9964799 * 0.9965063 *
*      325 *       326 *  16080055 *        24 *     18796 * 0.9964883 * 0.9973180 *
*      326 *       327 *  16081001 *        24 *     18796 * 0.9965219 * 0.9962530 *
*      327 *       328 *  16081002 *        24 *     18796 * 0.9964922 * 0.9949976 *
*      328 *       329 *  16081003 *        24 *     18796 * 0.9965862 * 0.9975852 *
*      329 *       330 *  16081004 *        24 *     18796 *         0 * 0.9960157 *
*      330 *       331 *  16081012 *        25 *     18797 * 1.0031302 * 1.0029847 *
*      331 *       332 *  16081013 *        25 *     18797 * 1.0028492 * 1.0002471 *
*      332 *       333 *  16081015 *        25 *     18797 * 1.0025651 * 1.0030301 *
*      333 *       334 *  16081016 *        25 *     18797 * 1.0025639 * 1.0022257 *
